waveobs	flux	err
420.025	0.7282408980584159	0.0
420.04999999999995	0.6775742525280425	0.0
420.07499999999993	0.6614279097614165	0.0
420.0999999999999	0.6922736332986645	0.0
420.1249999999999	0.7202628143608713	0.0
420.14999999999986	0.674967668562034	0.0
420.17499999999984	0.5714466707226349	0.0
420.1999999999998	0.5067118399931885	0.0
420.2249999999998	0.5417965572182094	0.0
420.2499999999998	0.6372361155848428	0.0
420.27499999999975	0.7235308549403366	0.0
420.2999999999997	0.7751657760763538	0.0
420.3249999999997	0.7923024820882286	0.0
420.3499999999997	0.7761325764422279	0.0
420.37499999999966	0.7451658902110273	0.0
420.39999999999964	0.7350437515914057	0.0
420.4249999999996	0.752988860542421	0.0
420.4499999999996	0.7614480045530888	0.0
420.47499999999957	0.7430736081328982	0.0
420.49999999999955	0.7264394740974487	0.0
420.5249999999995	0.7354749755030849	0.0
420.5499999999995	0.7745256302598632	0.0
420.5749999999995	0.8302457614931351	0.0
420.59999999999945	0.8590882265120305	0.0
420.62499999999943	0.8262348229441399	0.0
420.6499999999994	0.7580632111841445	0.0
420.6749999999994	0.716724193872963	0.0
420.69999999999936	0.726512253705128	0.0
420.72499999999934	0.7689079874341436	0.0
420.7499999999993	0.8239336658587106	0.0
420.7749999999993	0.8690969895598913	0.0
420.7999999999993	0.8788968516099464	0.0
420.82499999999925	0.8487051750541927	0.0
420.8499999999992	0.8083362451534063	0.0
420.8749999999992	0.7951205092017506	0.0
420.8999999999992	0.805494897564189	0.0
420.92499999999916	0.8045372055565885	0.0
420.94999999999914	0.7802583750456712	0.0
420.9749999999991	0.7480643062625971	0.0
420.9999999999991	0.7153518920290717	0.0
421.02499999999907	0.6916730296392113	0.0
421.04999999999905	0.7005544697649255	0.0
421.074999999999	0.7387368565828762	0.0
421.099999999999	0.7830413299915467	0.0
421.124999999999	0.8208442637326414	0.0
421.14999999999895	0.8382275499021429	0.0
421.17499999999893	0.835740941349578	0.0
421.1999999999989	0.834695950324492	0.0
421.2249999999989	0.8363371386825583	0.0
421.24999999999886	0.8312329064075346	0.0
421.27499999999884	0.8331315582328328	0.0
421.2999999999988	0.842137978891498	0.0
421.3249999999988	0.8288822638860497	0.0
421.3499999999988	0.7928741222472068	0.0
421.37499999999875	0.7777616698870704	0.0
421.3999999999987	0.8056180123513293	0.0
421.4249999999987	0.8441295826940316	0.0
421.4499999999987	0.8546943976584003	0.0
421.47499999999866	0.8233069173660138	0.0
421.49999999999864	0.74536591902101	0.0
421.5249999999986	0.634896859034007	0.0
421.5499999999986	0.5460581272116698	0.0
421.57499999999857	0.5262263217291125	0.0
421.59999999999854	0.567341311971155	0.0
421.6249999999985	0.6449607817930039	0.0
421.6499999999985	0.7352534867311454	0.0
421.6749999999985	0.7923440995484906	0.0
421.69999999999845	0.7838446115628774	0.0
421.72499999999843	0.7413242367652331	0.0
421.7499999999984	0.7299797563901081	0.0
421.7749999999984	0.7643670063268114	0.0
421.79999999999836	0.7969561232123529	0.0
421.82499999999834	0.7984490927222153	0.0
421.8499999999983	0.7889748536440614	0.0
421.8749999999983	0.7817437731018968	0.0
421.8999999999983	0.7625843837997388	0.0
421.92499999999825	0.7409230047397568	0.0
421.9499999999982	0.7532294447917347	0.0
